run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,prompt_template_version,parser_version,route_chosen,route_attempt_sequence,escalations_count,decision_reason,final_answer_source,reasoning_mode,symbolic_parse_success,sympy_solve_success,repair_attempted,repair_success,repair_trigger_reason,previous_raw_len,previous_action_id,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,timeout_policy_version,action_timeout_sec_used,timeout_reason,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version,router_version
hybrid_v3_20260222_140824,2026-02-22T14:08:24.190322,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,1.661,0,v3.1_cost_cap_2,,,3009.00,4172.00,1163.00,29.07,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.1
hybrid_v3_20260222_140824,2026-02-22T14:08:24.291141,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.486,0,v3.1_cost_cap_2,,,3009.00,4172.00,1163.00,29.07,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.1
hybrid_v3_20260222_140824,2026-02-22T14:08:24.391881,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.445,0,v3.1_cost_cap_2,,,3009.00,4172.00,1163.00,29.07,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.1
hybrid_v3_20260222_140824,2026-02-22T14:08:24.392499,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.446,0,v3.1_cost_cap_2,,,3009.00,4172.00,1163.00,29.07,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.1
hybrid_v3_20260222_140824,2026-02-22T14:08:24.493268,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.574,0,v3.1_cost_cap_2,,,3009.00,4172.00,1163.00,29.07,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.1
hybrid_v3_20260222_140824,2026-02-22T14:08:24.594125,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.575,0,v3.1_cost_cap_2,,,3009.00,4172.00,1163.00,29.07,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.1
hybrid_v3_20260222_140824,2026-02-22T14:08:24.594705,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.329,0,v3.1_cost_cap_2,,,3009.00,4172.00,1163.00,29.07,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.1
hybrid_v3_20260222_140824,2026-02-22T14:08:24.695448,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.474,0,v3.1_cost_cap_2,,,3009.00,4172.00,1163.00,29.07,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.1
hybrid_v3_20260222_140824,2026-02-22T14:08:24.796187,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.445,0,v3.1_cost_cap_2,,,3009.00,4172.00,1163.00,29.07,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.1
hybrid_v3_20260222_140824,2026-02-22T14:08:24.796686,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.291,0,v3.1_cost_cap_2,,,3009.00,4172.00,1163.00,29.07,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.1
