run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,action_id,grammar_enabled,grammar_version,max_tokens_budget,prompt_template_version,parser_version,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,e7_http_status,e7_exception_type,e7_tokens_predicted,e7_stop_type,e7_prompt_len_chars,e7_raw_preview,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version
v1_a1_grammar_20260221_165923,2026-02-21T16:59:29.218081,AR_000001,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,1,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,1,1,1,4,0,6026.004,0,1264.00,2439.00,1175.00,29.38,E1,200,,2,eos,150,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T16:59:31.006257,AR_000001,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,2,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,1,1,1,4,0,1687.559,0,1264.00,2439.00,1175.00,29.38,E1,200,,2,eos,150,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T16:59:32.764844,AR_000001,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,3,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,1,1,1,4,0,1658.040,0,1264.00,2439.00,1175.00,29.38,E1,200,,2,eos,150,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T16:59:45.688237,AR_000002,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,1,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,The value is 10.,10,1,4,0,12922.251,0,1264.00,2439.00,1175.00,29.38,E1,200,,7,eos,168,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T16:59:51.569310,AR_000002,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,2,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,The value is 10.,10,1,4,0,5780.299,0,1264.00,2439.00,1175.00,29.38,E1,200,,7,eos,168,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T16:59:57.507909,AR_000002,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,3,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,The value is 10.,10,1,4,0,5838.040,0,1264.00,2439.00,1175.00,29.38,E1,200,,7,eos,168,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:00:11.309584,AR_000003,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,1,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,-7.5 + 2320.5 = ,2313,1,2313,1,13800.473,0,1264.00,2439.00,1175.00,29.38,E0,200,,12,limit,147,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:00:21.308034,AR_000003,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,2,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,-7.5 + 2320.5 = ,2313,1,2313,1,9897.742,0,1264.00,2439.00,1175.00,29.38,E0,200,,12,limit,147,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:00:31.282851,AR_000003,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,3,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,-7.5 + 2320.5 = ,2313,1,2313,1,9874.124,0,1264.00,2439.00,1175.00,29.38,E0,200,,12,limit,147,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:00:34.479123,AR_000004,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,1,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,201,201,1,201,1,3195.801,0,1264.00,2439.00,1175.00,29.38,E0,200,,2,eos,140,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:00:36.218187,AR_000004,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,2,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,201,201,1,201,1,1638.552,0,1264.00,2439.00,1175.00,29.38,E0,200,,2,eos,140,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:00:38.012468,AR_000004,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,3,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,201,201,1,201,1,1693.763,0,1264.00,2439.00,1175.00,29.38,E0,200,,2,eos,140,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:00:53.606713,AR_000005,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,1,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,(-2)/(-3) = 2/3,0.6666666666666666,1,1,0,15593.740,0,1264.00,2439.00,1175.00,29.38,E1,200,,12,word,158,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:01:03.598186,AR_000005,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,2,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,(-2)/(-3) = 2/3,0.6666666666666666,1,1,0,9890.876,0,1264.00,2439.00,1175.00,29.38,E1,200,,12,word,158,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:01:13.626608,AR_000005,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,3,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,(-2)/(-3) = 2/3,0.6666666666666666,1,1,0,9927.835,0,1264.00,2439.00,1175.00,29.38,E1,200,,12,word,158,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:01:21.908066,AR_000006,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,1,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,-0.3333333333333333,-0.3333333333333333,1,-5,0,8280.984,0,1264.00,2439.00,1175.00,29.38,E1,200,,10,eos,146,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:01:30.240229,AR_000006,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,2,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,-0.3333333333333333,-0.3333333333333333,1,-5,0,8231.632,0,1264.00,2439.00,1175.00,29.38,E1,200,,10,eos,146,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_grammar_20260221_165923,2026-02-21T17:01:38.613513,AR_000006,deepmind_math,AR,industry_tier1_40_v2,v1_a1_grammar,3,A1,1,G1-relaxed,12,PT3_phi_chat,P3_numeric_context,-0.3333333333333333,-0.3333333333333333,1,-5,0,8272.670,0,1264.00,2439.00,1175.00,29.38,E1,200,,10,eos,146,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
