run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,prompt_template_version,parser_version,route_chosen,route_attempt_sequence,escalations_count,decision_reason,final_answer_source,reasoning_mode,symbolic_parse_success,sympy_solve_success,repair_attempted,repair_success,repair_trigger_reason,previous_raw_len,previous_action_id,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,timeout_policy_version,action_timeout_sec_used,timeout_reason,a6_parse_success,a6_n_facts,a6_n_rules,a6_n_derived,a6_rule_fired,a6_pattern,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version,router_version
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:19.484373,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,1.827,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:19.585192,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.466,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:19.685964,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.451,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:19.686580,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.431,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:19.787426,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.590,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:19.888342,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.612,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:19.888889,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.331,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:19.989566,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.445,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:20.090307,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.437,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:20.090855,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.332,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:20.191547,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.423,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
hybrid_v5_cot300_20260222_200019,2026-02-22T20:00:20.292271,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5_cot300,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.419,0,v5.0_a6_logic_wp300_cot,,,,,,,,,6549.00,11250.00,4701.00,117.53,E0,Qwen2.5-Math-1.5B-Instruct,Q6_K,0.0,1.0,1,42,20,v1.0-qwen-math,v5.0
